tweet_id,retweet_count,favorite_count
793241302385262592,3046,9892
793226087023144960,2691,9197
793210959003287553,2587,8393
793195938047070209,5231,14316
793180763617361921,1846,6502
793165685325201412,2606,8811
793150605191548928,1583,5791
793135492858580992,2330,6023
793120401413079041,3647,11918
792913359805018113,3683,13472
792883833364439040,3967,10599
792773781206999040,1564,6941
792394556390137856,3980,12595
792050063153438720,1656,6720
791821351946420224,19525,0
791784077045166082,8806,0
791780927877898241,3531,0
791774931465953280,20582,42347
791672322847637504,2901,11040
791406955684368384,3834,12367
791312159183634433,2349,8251
791026214425268224,3772,0
790987426131050500,1972,9235
790946055508652032,4355,15734
790723298204217344,2127,0
790698755171364864,1789,7736
790581949425475584,6586,19373
790337589677002753,1754,7360
790277117346975746,2935,11770
790227638568808452,3276,0
789986466051088384,2127,8736
789960241177853952,3790,0
789903600034189313,3853,9693
789628658055020548,1626,7026
789599242079838210,1776,6321
789530877013393408,3130,10994
789314372632018944,2119,8127
789280767834746880,4550,0
789268448748703744,2425,8576
789137962068021249,2588,9138
788908386943430656,11623,25815
788765914992902144,9586,25675
788552643979468800,6609,0
788412144018661376,4896,14585
788178268662984705,1962,6822
788150585577050112,1193,5743
788070120937619456,3191,0
788039637453406209,1214,5745
787810552592695296,2817,8088
787717603741622272,2562,9616
787397959788929025,2647,10234
787322443945877504,1616,7311
787111942498508800,6249,0
786963064373534720,7371,25024
786729988674449408,2255,0
786709082849828864,5684,17211
786664955043049472,2350,9958
786595970293370880,2891,8901
786363235746385920,3197,10194
786286427768250368,2623,7499
786233965241827333,4339,14264
786051337297522688,144,1343
786036967502913536,6455,0
785927819176054784,2960,10696
785872687017132033,1658,6292
785639753186217984,2092,7378
785533386513321988,1823,8489
785515384317313025,1152,5731
785264754247995392,1508,6830
785170936622350336,4455,11243
784826020293709826,2981,9500
784517518371221505,2347,8407
784431430411685888,1170,5391
784183165795655680,7400,18770
784057939640352768,10263,27814
783839966405230592,9958,28103
783821107061198850,1812,6915
783695101801398276,2967,9774
783466772167098368,2066,7899
783391753726550016,5051,15840
783347506784731136,5107,0
783334639985389568,10771,27220
783085703974514689,2006,7652
782969140009107456,6830,22600
782747134529531904,1305,7009
782722598790725632,4964,16121
782598640137187329,1761,7315
782305867769217024,5086,15559
782021823840026624,5679,0
781955203444699136,3115,10479
781661882474196992,2502,9790
781655249211752448,1042,3730
781524693396357120,5109,19388
781308096455073793,2366,6669
781251288990355457,1913,7844
781163403222056960,2565,9183
780931614150983680,6679,20285
780858289093574656,1849,6741
780800785462489090,1190,5139
780601303617732608,3104,11320
780543529827336192,1613,5903
780496263422808064,3388,0
780476555013349377,103,0
780459368902959104,996,4959
780192070812196864,2066,8134
780092040432480260,2113,0
780074436359819264,4531,11326
779834332596887552,6455,17567
779377524342161408,2858,8169
779124354206535695,16857,0
779056095788752897,4178,13762
778990705243029504,6600,18576
778774459159379968,9066,0
778764940568104960,335,812
778748913645780993,1198,6404
778650543019483137,1380,5369
778624900596654080,932,4301
778408200802557953,3979,12748
778396591732486144,11234,0
778383385161035776,1011,5454
778286810187399168,3035,9634
778039087836069888,2439,7915
778027034220126208,1480,6132
777953400541634568,3240,0
777885040357281792,1504,5936
777684233540206592,2707,10509
777641927919427584,3890,0
777621514455814149,2322,8132
777189768882946048,3952,13182
776819012571455488,12464,0
776813020089548800,1108,4576
776477788987613185,2538,8174
776249906839351296,8388,0
776218204058357768,14571,27827
776201521193218049,2317,8950
776113305656188928,3996,11003
776088319444877312,141,1697
775898661951791106,15392,0
775842724423557120,2443,10922
775733305207554048,3679,12945
775729183532220416,4252,12157
775364825476165632,2695,6885
775350846108426240,3599,9474
775085132600442880,4331,14515
774757898236878852,1641,8051
774639387460112384,1600,6302
774314403806253056,5045,20347
773985732834758656,3555,10058
773922284943896577,1612,6003
773704687002451968,1481,6175
773670353721753600,1214,5009
773547596996571136,5642,20620
773336787167145985,4628,0
